iter	Passed	Remaining
203	348	1358
204	349	1355
205	350	1351
206	351	1347
207	355	1353
208	357	1352
209	359	1354
210	361	1353
211	363	1351
212	364	1346
213	365	1341
214	366	1337
215	367	1334
216	370	1336
217	371	1332
218	372	1328
219	373	1324
220	374	1321
221	375	1316
222	376	1311
223	377	1307
224	383	1320
225	384	1317
226	385	1312
227	386	1307
228	387	1303
229	387	1297
230	388	1294
231	389	1289
232	390	1284
233	392	1285
234	394	1283
235	395	1280
236	396	1276
237	397	1273
238	399	1272
239	401	1270
240	403	1269
241	404	1265
242	404	1261
243	406	1259
244	407	1255
245	408	1251
246	409	1247
247	409	1242
248	415	1254
249	417	1252
250	418	1248
251	419	1243
252	419	1239
253	421	1236
254	421	1232
255	422	1228
256	423	1224
257	425	1222
258	426	1219
259	426	1214
260	427	1210
261	428	1206
262	428	1201
263	430	1199
264	430	1195
265	431	1191
266	437	1202
267	439	1199
268	439	1195
269	440	1191
270	441	1187
271	442	1184
272	443	1180
273	444	1177
274	445	1174
275	453	1190
276	454	1186
277	455	1182
278	455	1178
279	456	1174
280	457	1171
281	459	1169
282	460	1166
283	461	1163
284	462	1160
285	463	1157
286	464	1153
287	465	1150
288	465	1146
289	467	1143
290	467	1139
291	468	1136
292	470	1134
293	471	1132
294	472	1128
295	473	1125
296	473	1121
297	474	1118
298	475	1114
299	476	1112
300	481	1118
301	483	1116
302	484	1114
303	485	1110
304	485	1107
305	486	1103
306	488	1102
307	489	1099
308	490	1096
309	491	1094
310	497	1101
311	498	1099
312	499	1095
313	500	1092
314	501	1090
315	502	1087
316	503	1084
317	504	1081
318	506	1080
319	507	1078
320	509	1077
321	510	1074
322	511	1071
323	511	1068
324	512	1064
325	517	1069
326	518	1067
327	519	1064
328	520	1061
329	521	1058
330	521	1054
331	523	1052
332	527	1057
333	531	1059
334	532	1057
335	533	1054
336	534	1051
337	535	1048
338	536	1045
339	541	1051
340	543	1049
341	544	1047
342	545	1044
343	545	1040
344	546	1037
345	547	1034
346	548	1032
347	549	1028
348	549	1025
349	555	1031
350	556	1029
351	557	1027
352	558	1024
353	559	1021
354	560	1018
355	561	1015
356	562	1012
357	562	1009
358	563	1006
359	569	1012
360	570	1010
361	571	1007
362	572	1005
363	573	1002
364	574	999
365	575	996
366	575	993
367	576	990
368	577	987
369	582	992
370	584	991
371	586	989
372	586	986
373	587	983
374	588	980
375	589	977
376	589	974
377	590	972
378	598	981
379	600	979
380	600	976
381	601	973
382	602	970
383	603	967
384	604	965
385	605	962
386	606	960
387	612	966
388	614	965
389	615	963
390	617	961
391	624	968
392	625	966
393	627	965
394	628	963
395	629	960
396	630	958
397	632	956
398	642	968
399	645	967
400	653	975
401	654	973
402	656	971
403	660	973
404	661	971
405	662	969
406	671	978
407	672	975
408	677	979
409	680	978
410	681	976
411	682	974
412	684	972
413	689	975
414	690	973
415	695	976
416	696	974
417	698	972
418	699	969
419	700	967
420	707	972
421	710	973
422	711	971
423	713	968
424	714	966
425	719	969
426	721	967
427	722	965
428	725	965
429	730	968
430	732	967
431	734	965
432	735	962
433	736	960
434	737	958
435	739	957
436	741	955
437	747	958
438	750	959
439	751	956
440	752	954
441	757	956
442	759	954
443	761	953
444	762	951
445	764	949
446	765	947
447	768	947
448	770	945
449	771	942
450	773	941
451	774	939
452	776	937
453	776	934
454	777	931
455	778	928
456	778	925
457	783	927
458	786	926
459	787	924
460	788	921
461	789	919
462	790	916
463	790	913
464	791	910
465	792	908
466	799	912
467	800	909
468	801	907
469	802	905
470	804	903
471	805	900
472	806	898
473	809	897
474	810	895
475	811	892
476	812	890
477	813	888
478	817	889
479	820	888
480	829	895
481	831	893
482	832	891
483	835	890
484	836	888
485	838	887
486	840	885
487	841	883
488	844	882
489	845	879
490	846	877
491	848	876
492	855	879
493	857	878
494	859	876
495	871	885
496	873	883
497	880	887
498	882	885
499	883	883
500	884	881
501	886	879
502	892	881
503	894	880
504	896	878
505	897	876
506	899	874
507	903	875
508	905	873
509	907	871
510	914	874
511	917	874
512	918	871
513	919	869
514	921	868
515	924	866
516	926	865
517	927	862
518	928	860
519	930	858
520	936	861
521	938	858
522	939	856
523	940	854
524	942	853
525	944	850
526	950	852
527	952	851
528	953	848
529	955	847
530	956	844
531	957	841
532	957	839
533	965	842
534	966	840
535	967	837
536	968	835
537	969	832
538	971	830
539	977	832
540	980	831
541	981	829
542	982	827
543	984	824
544	985	822
545	989	822
546	991	821
547	992	818
548	993	816
549	995	814
550	995	811
551	996	809
552	997	806
553	1000	805
554	1002	803
555	1003	801
556	1005	799
557	1006	797
558	1007	795
559	1009	793
560	1010	790
561	1014	791
562	1016	788
563	1017	786
564	1018	784
565	1020	782
566	1021	779
567	1022	777
568	1023	775
569	1024	772
570	1028	772
571	1029	770
572	1031	768
573	1032	766
574	1034	764
575	1034	761
576	1035	759
577	1036	756
578	1038	754
579	1041	754
580	1042	751
581	1044	750
582	1045	748
583	1047	745
584	1047	743
585	1048	740
586	1050	738
587	1050	736
588	1053	734
589	1054	732
590	1056	730
591	1057	728
592	1058	726
593	1059	724
594	1060	721
595	1061	719
596	1062	717
597	1063	714
598	1064	712
599	1066	710
600	1067	708
601	1068	706
602	1069	704
603	1070	701
604	1072	699
605	1073	697
606	1073	695
607	1074	692
608	1075	690
609	1076	688
610	1078	686
611	1079	684
612	1080	682
613	1082	680
614	1083	678
615	1084	676
616	1085	673
617	1086	671
618	1087	669
619	1088	666
620	1089	664
621	1090	662
622	1091	660
623	1092	658
624	1095	657
625	1096	654
626	1097	652
627	1098	650
628	1102	650
629	1103	647
630	1104	645
631	1105	643
632	1108	642
633	1110	640
634	1112	639
635	1114	637
636	1115	635
637	1117	633
638	1118	631
639	1120	630
640	1122	628
641	1123	626
642	1124	624
643	1127	623
644	1129	621
645	1129	619
646	1130	616
647	1132	615
648	1133	613
649	1134	610
650	1135	608
651	1136	606
652	1136	604
653	1138	602
654	1138	599
655	1141	598
656	1142	596
657	1144	595
658	1146	593
659	1146	590
660	1147	588
661	1148	586
662	1149	584
663	1150	582
664	1151	580
665	1153	578
666	1155	576
667	1156	574
668	1157	572
669	1158	570
670	1159	568
671	1160	566
672	1161	564
673	1161	561
674	1162	559
675	1163	557
676	1164	555
677	1165	553
678	1166	551
679	1167	549
680	1168	547
681	1169	545
682	1170	543
683	1171	541
684	1172	539
685	1173	536
686	1173	534
687	1175	532
688	1176	531
689	1177	528
690	1178	526
691	1179	524
692	1180	523
693	1181	521
694	1182	519
695	1183	516
696	1184	514
697	1185	512
698	1186	510
699	1187	508
700	1190	507
701	1191	505
702	1194	504
703	1195	502
704	1197	500
705	1198	499
706	1199	497
707	1201	495
708	1202	493
709	1205	492
710	1206	490
711	1207	488
712	1209	486
713	1211	485
714	1216	485
715	1219	483
716	1221	482
717	1224	480
718	1225	478
719	1227	477
720	1229	475
721	1230	473
722	1231	471
723	1232	469
724	1232	467
725	1234	465
726	1235	463
727	1236	462
728	1237	459
729	1237	457
730	1241	456
731	1242	454
732	1243	452
733	1243	450
734	1244	448
735	1246	446
736	1247	445
737	1248	443
738	1249	441
739	1250	439
740	1251	437
741	1251	435
742	1253	433
743	1254	431
744	1255	429
745	1256	427
746	1256	425
747	1257	423
748	1258	421
749	1259	419
750	1260	417
751	1261	416
752	1262	414
753	1262	411
754	1263	409
755	1264	408
756	1266	406
757	1267	404
758	1268	402
759	1269	400
760	1270	398
761	1271	397
762	1272	395
763	1273	393
764	1274	391
765	1275	389
766	1275	387
767	1276	385
768	1277	383
769	1277	381
770	1281	380
771	1282	378
772	1284	377
773	1285	375
774	1286	373
775	1287	371
776	1287	369
777	1288	367
778	1289	365
779	1289	363
780	1290	361
781	1293	360
782	1294	358
783	1295	356
784	1295	354
785	1296	353
786	1298	351
787	1299	349
788	1299	347
789	1300	345
790	1301	343
791	1301	341
792	1303	340
793	1303	338
794	1306	336
795	1306	334
796	1309	333
797	1310	331
798	1311	329
799	1314	328
800	1315	326
801	1316	324
802	1319	323
803	1322	322
804	1322	320
805	1324	318
806	1326	317
807	1327	315
808	1328	313
809	1329	311
810	1331	310
811	1333	308
812	1334	307
813	1336	305
814	1337	303
815	1338	301
816	1339	299
817	1339	298
818	1340	296
819	1341	294
820	1341	292
821	1345	291
822	1346	289
823	1347	287
824	1349	286
825	1350	284
826	1351	282
827	1352	280
828	1353	279
829	1353	277
830	1355	275
831	1355	273
832	1357	272
833	1359	270
834	1360	268
835	1361	267
836	1361	265
837	1363	263
838	1364	261
839	1365	260
840	1366	258
841	1366	256
842	1367	254
843	1368	252
844	1369	251
845	1371	249
846	1372	247
847	1374	246
848	1376	244
849	1377	243
850	1378	241
851	1379	239
852	1379	237
853	1380	236
854	1381	234
855	1382	232
856	1386	231
857	1387	229
858	1388	227
859	1389	226
860	1390	224
861	1392	222
862	1392	221
863	1393	219
864	1394	217
865	1394	215
866	1397	214
867	1398	212
868	1399	210
869	1400	209
870	1400	207
871	1401	205
872	1402	204
873	1403	202
874	1407	201
875	1409	199
876	1410	197
877	1413	196
878	1419	195
879	1422	194
880	1424	192
881	1425	190
882	1429	189
883	1432	188
884	1434	186
885	1436	184
886	1438	183
887	1439	181
888	1441	179
889	1443	178
890	1445	176
891	1446	175
892	1448	173
893	1450	171
894	1454	170
895	1455	168
896	1457	167
897	1459	165
898	1460	164
899	1461	162
900	1467	161
901	1469	159
902	1470	157
903	1472	156
904	1473	154
905	1474	153
906	1476	151
907	1477	149
908	1479	148
909	1480	146
910	1481	144
911	1483	143
912	1483	141
913	1484	139
914	1485	137
915	1486	136
916	1486	134
917	1488	132
918	1490	131
919	1491	129
920	1492	128
921	1494	126
922	1495	124
923	1496	123
924	1496	121
925	1497	119
926	1498	118
927	1499	116
928	1500	114
929	1502	113
930	1503	111
931	1504	109
932	1505	108
933	1506	106
934	1507	104
935	1508	103
936	1509	101
937	1510	99
938	1510	98
939	1511	96
940	1512	94
941	1514	93
942	1516	91
943	1517	90
944	1520	88
945	1521	86
946	1522	85
947	1523	83
948	1525	81
949	1526	80
950	1527	78
951	1528	77
952	1529	75
953	1530	73
954	1531	72
955	1532	70
956	1533	68
957	1533	67
958	1534	65
959	1535	63
960	1538	62
961	1540	60
962	1541	59
963	1542	57
964	1544	56
965	1545	54
966	1546	52
967	1547	51
968	1547	49
969	1548	47
970	1549	46
971	1553	44
972	1554	43
973	1555	41
974	1557	39
975	1558	38
976	1559	36
977	1559	35
978	1561	33
979	1561	31
980	1562	30
981	1566	28
982	1567	27
983	1568	25
984	1569	23
985	1570	22
986	1572	20
987	1572	19
988	1573	17
989	1574	15
990	1574	14
991	1575	12
992	1579	11
993	1580	9
994	1581	7
995	1582	6
996	1584	4
997	1585	3
998	1586	1
999	1587	0
